Model,Run,Pathology,Validation AUC,Test AUC
densenet121,1,Atelectasis,0.6729740847387906,0.6584197924980048
densenet121,1,Cardiomegaly,0.7373684210526316,0.7220122128525734
densenet121,1,Consolidation,0.5353535353535354,0.5078125
densenet121,1,Edema,0.6186868686868687,0.6432160804020101
densenet121,1,Effusion,0.6405141843971631,0.6026315789473684
densenet121,1,Emphysema,0.42666666666666664,0.37743589743589745
densenet121,1,Fibrosis,0.3798720186154741,0.5983645983645984
densenet121,1,Hernia,,0.626057529610829
densenet121,1,Infiltration,0.59,0.6140446379967338
densenet121,1,Mass,0.583934583934584,0.4420572916666667
densenet121,1,Nodule,0.4241302738712065,0.44954928758359985
densenet121,1,Pleural_Thickening,0.543301258327165,0.4932844932844933
densenet121,1,Pneumonia,0.8333333333333333,0.5670572916666666
densenet121,1,Pneumothorax,0.6464646464646464,0.5076530612244898
densenet121,2,Atelectasis,0.525298231180584,0.6342112263899974
densenet121,2,Cardiomegaly,0.7778947368421053,0.7752253562082001
densenet121,2,Consolidation,0.8333333333333334,0.5559895833333334
densenet121,2,Edema,0.6818181818181819,0.8190954773869347
densenet121,2,Effusion,0.7229609929078015,0.5457894736842106
densenet121,2,Emphysema,0.6276923076923078,0.317948717948718
densenet121,2,Fibrosis,0.46538685282140774,0.6734006734006733
densenet121,2,Hernia,,0.793570219966159
densenet121,2,Infiltration,0.6466666666666667,0.5367446924333151
densenet121,2,Mass,0.45358345358345353,0.5013020833333333
densenet121,2,Nodule,0.4552183567727609,0.4289037510904332
densenet121,2,Pleural_Thickening,0.44411547002220575,0.5091575091575091
densenet121,2,Pneumonia,0.6540404040404041,0.5299479166666666
densenet121,2,Pneumothorax,0.7525252525252526,0.524234693877551
densenet121,3,Atelectasis,0.7058823529411765,0.5690343176376695
densenet121,3,Cardiomegaly,0.7368421052631579,0.6894446059901134
densenet121,3,Consolidation,0.7297979797979799,0.630859375
densenet121,3,Edema,0.648989898989899,0.5979899497487438
densenet121,3,Effusion,0.7615248226950355,0.5800000000000001
densenet121,3,Emphysema,0.561025641025641,0.39999999999999997
densenet121,3,Fibrosis,0.493891797556719,0.6127946127946128
densenet121,3,Hernia,,0.4737732656514382
densenet121,3,Infiltration,0.5877777777777778,0.6392669207040464
densenet121,3,Mass,0.5031265031265032,0.42317708333333337
densenet121,3,Nodule,0.5736491487786824,0.47659203256760685
densenet121,3,Pleural_Thickening,0.533678756476684,0.49938949938949945
densenet121,3,Pneumonia,0.7146464646464646,0.5748697916666666
densenet121,3,Pneumothorax,0.6212121212121212,0.6033163265306123
densenet121,4,Atelectasis,0.5364047716988893,0.6456504389465283
densenet121,4,Cardiomegaly,0.7278947368421053,0.7004943297470195
densenet121,4,Consolidation,0.696969696969697,0.6438802083333333
densenet121,4,Edema,0.4949494949494949,0.1959798994974874
densenet121,4,Effusion,0.864804964539007,0.6621052631578948
densenet121,4,Emphysema,0.46974358974358976,0.7794871794871794
densenet121,4,Fibrosis,0.6073298429319371,0.5974025974025974
densenet121,4,Hernia,,0.8612521150592217
densenet121,4,Infiltration,0.7072222222222223,0.5501723825077118
densenet121,4,Mass,0.7113997113997115,0.5983072916666666
densenet121,4,Nodule,0.5825314581791265,0.44140738586798484
densenet121,4,Pleural_Thickening,0.3663952627683198,0.6144688644688644
densenet121,4,Pneumonia,0.4318181818181818,0.5813802083333334
densenet121,4,Pneumothorax,0.7651515151515152,0.9502551020408163
densenet121,5,Atelectasis,0.4948580830933772,0.6142591114658154
densenet121,5,Cardiomegaly,0.8115789473684211,0.7676650189008433
densenet121,5,Consolidation,0.7171717171717171,0.7200520833333334
densenet121,5,Edema,0.792929292929293,0.5125628140703518
densenet121,5,Effusion,0.8448581560283688,0.6642105263157895
densenet121,5,Emphysema,0.5958974358974359,0.6307692307692307
densenet121,5,Fibrosis,0.45433391506689935,0.5695045695045695
densenet121,5,Hernia,,0.6142131979695431
densenet121,5,Infiltration,0.6066666666666666,0.6327345309381237
densenet121,5,Mass,0.696969696969697,0.5748697916666666
densenet121,5,Nodule,0.6358253145817913,0.4355917417854027
densenet121,5,Pleural_Thickening,0.616580310880829,0.43223443223443225
densenet121,5,Pneumonia,0.41919191919191917,0.6126302083333334
densenet121,5,Pneumothorax,0.6161616161616161,0.6798469387755102
densenet161,1,Atelectasis,0.6610448375154258,0.636073423782921
densenet161,1,Cardiomegaly,0.7042105263157894,0.7371328874672869
densenet161,1,Consolidation,0.6666666666666667,0.4095052083333333
densenet161,1,Edema,0.4974747474747475,0.4824120603015075
densenet161,1,Effusion,0.6081560283687943,0.5131578947368421
densenet161,1,Emphysema,0.6235897435897436,0.5610256410256411
densenet161,1,Fibrosis,0.4363001745200698,0.5464165464165465
densenet161,1,Hernia,,0.4923857868020304
densenet161,1,Infiltration,0.45611111111111113,0.480856468880421
densenet161,1,Mass,0.4906204906204907,0.37500000000000006
densenet161,1,Nodule,0.5247964470762398,0.4896772317534167
densenet161,1,Pleural_Thickening,0.4500370096225018,0.5970695970695972
densenet161,1,Pneumonia,0.6818181818181819,0.3912760416666667
densenet161,1,Pneumothorax,0.6515151515151515,0.552295918367347
densenet161,2,Atelectasis,0.5656108597285068,0.6546953977121575
densenet161,2,Cardiomegaly,0.7515789473684211,0.4486769409712126
densenet161,2,Consolidation,0.5126262626262627,0.5768229166666666
densenet161,2,Edema,0.5833333333333334,0.6130653266331658
densenet161,2,Effusion,0.8200354609929078,0.6252631578947369
densenet161,2,Emphysema,0.5579487179487179,0.6943589743589743
densenet161,2,Fibrosis,0.6143106457242583,0.5108225108225108
densenet161,2,Hernia,,0.48054145516074454
densenet161,2,Infiltration,0.5577777777777778,0.510252222827073
densenet161,2,Mass,0.5988455988455988,0.4869791666666667
densenet161,2,Nodule,0.4700222057735011,0.5082872928176796
densenet161,2,Pleural_Thickening,0.24204293116210215,0.5231990231990232
densenet161,2,Pneumonia,0.3308080808080808,0.7454427083333334
densenet161,2,Pneumothorax,0.9141414141414141,0.8061224489795918
densenet161,3,Atelectasis,0.5635540929658577,0.6669326948656558
densenet161,3,Cardiomegaly,0.75,0.7132887467287001
densenet161,3,Consolidation,0.904040404040404,0.6484375
densenet161,3,Edema,0.7222222222222222,0.3316582914572864
densenet161,3,Effusion,0.8102836879432624,0.7073684210526315
densenet161,3,Emphysema,0.42051282051282046,0.6851282051282052
densenet161,3,Fibrosis,0.4700407213496218,0.3381433381433382
densenet161,3,Hernia,,0.754653130287648
densenet161,3,Infiltration,0.5783333333333334,0.621302848847759
densenet161,3,Mass,0.5983645983645984,0.5631510416666666
densenet161,3,Nodule,0.540340488527017,0.4105844722302995
densenet161,3,Pleural_Thickening,0.459659511472983,0.4328449328449328
densenet161,3,Pneumonia,0.351010101010101,0.6458333333333333
densenet161,3,Pneumothorax,0.696969696969697,0.6135204081632653
densenet161,4,Atelectasis,0.5269436445907034,0.6945996275605214
densenet161,4,Cardiomegaly,0.7357894736842105,0.7417854027333527
densenet161,4,Consolidation,0.6641414141414141,0.603515625
densenet161,4,Edema,0.5202020202020202,0.42713567839195976
densenet161,4,Effusion,0.6422872340425532,0.49684210526315786
densenet161,4,Emphysema,0.47384615384615386,0.6523076923076923
densenet161,4,Fibrosis,0.4363001745200698,0.5266955266955268
densenet161,4,Hernia,,0.4196277495769882
densenet161,4,Infiltration,0.5855555555555555,0.5645073489384866
densenet161,4,Mass,0.49639249639249644,0.46809895833333337
densenet161,4,Nodule,0.5714285714285714,0.5376562954347194
densenet161,4,Pleural_Thickening,0.4744633604737232,0.5085470085470085
densenet161,4,Pneumonia,0.27272727272727276,0.6477864583333333
densenet161,4,Pneumothorax,0.6338383838383839,0.6568877551020409
densenet161,5,Atelectasis,0.516248457424928,0.6656025538707103
densenet161,5,Cardiomegaly,0.7305263157894737,0.6972957255015992
densenet161,5,Consolidation,0.6161616161616161,0.6197916666666667
densenet161,5,Edema,0.7626262626262625,0.3668341708542714
densenet161,5,Effusion,0.8085106382978723,0.6178947368421053
densenet161,5,Emphysema,0.40923076923076923,0.6082051282051282
densenet161,5,Fibrosis,0.42524723676556136,0.6123136123136124
densenet161,5,Hernia,,0.7512690355329948
densenet161,5,Infiltration,0.6141666666666667,0.5948103792415169
densenet161,5,Mass,0.6488696488696488,0.48958333333333337
densenet161,5,Nodule,0.47372316802368614,0.5155568479209072
densenet161,5,Pleural_Thickening,0.5551443375277572,0.45940170940170943
densenet161,5,Pneumonia,0.5833333333333333,0.49869791666666674
densenet161,5,Pneumothorax,0.696969696969697,0.5816326530612245
densenet169,1,Atelectasis,0.6330728095433978,0.656291566906092
densenet169,1,Cardiomegaly,0.7221052631578948,0.6839197441116603
densenet169,1,Consolidation,0.6439393939393939,0.5846354166666666
densenet169,1,Edema,0.5025252525252526,0.49246231155778897
densenet169,1,Effusion,0.739804964539007,0.631578947368421
densenet169,1,Emphysema,0.5661538461538462,0.6482051282051282
densenet169,1,Fibrosis,0.3647469458987784,0.5743145743145743
densenet169,1,Hernia,,0.7326565143824028
densenet169,1,Infiltration,0.553611111111111,0.5768463073852296
densenet169,1,Mass,0.5286195286195287,0.5026041666666666
densenet169,1,Nodule,0.5669874167283493,0.531259086943879
densenet169,1,Pleural_Thickening,0.49962990377498145,0.49664224664224665
densenet169,1,Pneumonia,0.6616161616161615,0.49088541666666663
densenet169,1,Pneumothorax,0.6616161616161615,0.5229591836734694
densenet169,2,Atelectasis,0.6277252159605101,0.6092045756850226
densenet169,2,Cardiomegaly,0.8594736842105264,0.8220412910729864
densenet169,2,Consolidation,0.8005050505050505,0.6569010416666667
densenet169,2,Edema,0.7474747474747475,0.5226130653266332
densenet169,2,Effusion,0.8209219858156029,0.6173684210526316
densenet169,2,Emphysema,0.6523076923076923,0.5271794871794873
densenet169,2,Fibrosis,0.5026178010471204,0.4963924963924964
densenet169,2,Hernia,,0.6920473773265652
densenet169,2,Infiltration,0.6169444444444444,0.6076937035020867
densenet169,2,Mass,0.6522366522366523,0.5768229166666666
densenet169,2,Nodule,0.5632864544781643,0.4530386740331491
densenet169,2,Pleural_Thickening,0.5277572168763878,0.4606227106227106
densenet169,2,Pneumonia,0.5025252525252526,0.5221354166666667
densenet169,2,Pneumothorax,0.6742424242424242,0.49744897959183676
densenet169,3,Atelectasis,0.6149732620320857,0.6775738228252195
densenet169,3,Cardiomegaly,0.8236842105263158,0.7121256179121838
densenet169,3,Consolidation,0.8383838383838383,0.40625
densenet169,3,Edema,0.37373737373737376,0.6984924623115578
densenet169,3,Effusion,0.7229609929078014,0.6621052631578948
densenet169,3,Emphysema,0.6297435897435897,0.6102564102564103
densenet169,3,Fibrosis,0.503781268179174,0.6272246272246272
densenet169,3,Hernia,,0.6243654822335025
densenet169,3,Infiltration,0.42138888888888887,0.5735801125022681
densenet169,3,Mass,0.5204425204425205,0.3444010416666667
densenet169,3,Nodule,0.46780162842339007,0.5469613259668508
densenet169,3,Pleural_Thickening,0.45743893412287195,0.5851648351648352
densenet169,3,Pneumonia,0.2398989898989899,0.57421875
densenet169,3,Pneumothorax,0.7095959595959596,0.5778061224489796
densenet169,4,Atelectasis,0.5524475524475525,0.6243681830274009
densenet169,4,Cardiomegaly,0.61,0.6065716778133178
densenet169,4,Consolidation,0.5252525252525253,0.49609375
densenet169,4,Edema,0.47474747474747475,0.3467336683417085
densenet169,4,Effusion,0.6657801418439716,0.601578947368421
densenet169,4,Emphysema,0.522051282051282,0.7117948717948719
densenet169,4,Fibrosis,0.41768470040721345,0.6108706108706109
densenet169,4,Hernia,,0.5922165820642977
densenet169,4,Infiltration,0.6341666666666667,0.5973507530393758
densenet169,4,Mass,0.4555074555074555,0.3372395833333333
densenet169,4,Nodule,0.44337527757216877,0.4574004070950858
densenet169,4,Pleural_Thickening,0.35011102886750556,0.5357142857142857
densenet169,4,Pneumonia,0.7323232323232324,0.6061197916666667
densenet169,4,Pneumothorax,0.6742424242424243,0.6045918367346939
densenet169,5,Atelectasis,0.5051419169066228,0.6355413673849428
densenet169,5,Cardiomegaly,0.7821052631578949,0.7112532712997964
densenet169,5,Consolidation,0.9040404040404041,0.58984375
densenet169,5,Edema,0.643939393939394,0.5025125628140703
densenet169,5,Effusion,0.7039007092198581,0.7215789473684211
densenet169,5,Emphysema,0.4420512820512821,0.41025641025641024
densenet169,5,Fibrosis,0.5008726003490401,0.46993746993747
densenet169,5,Hernia,,0.7021996615905246
densenet169,5,Infiltration,0.6988888888888889,0.5608782435129741
densenet169,5,Mass,0.557960557960558,0.5162760416666666
densenet169,5,Nodule,0.5107327905255366,0.4623437045652806
densenet169,5,Pleural_Thickening,0.4685418208734271,0.4447496947496948
densenet169,5,Pneumonia,0.34595959595959597,0.623046875
densenet169,5,Pneumothorax,0.6262626262626263,0.6415816326530612
densenet201,1,Atelectasis,0.6227889757301521,0.6698590050545358
densenet201,1,Cardiomegaly,0.7526315789473684,0.7484733934283222
densenet201,1,Consolidation,0.6414141414141414,0.4700520833333333
densenet201,1,Edema,0.702020202020202,0.09045226130653261
densenet201,1,Effusion,0.7916666666666667,0.5947368421052631
densenet201,1,Emphysema,0.6051282051282052,0.718974358974359
densenet201,1,Fibrosis,0.5322862129144852,0.5964405964405964
densenet201,1,Hernia,,0.8020304568527918
densenet201,1,Infiltration,0.49472222222222223,0.5376519687896933
densenet201,1,Mass,0.6416546416546416,0.6119791666666667
densenet201,1,Nodule,0.6809770540340488,0.47455655713870304
densenet201,1,Pleural_Thickening,0.53960029607698,0.5344932844932845
densenet201,1,Pneumonia,0.7247474747474747,0.45247395833333337
densenet201,1,Pneumothorax,0.6540404040404041,0.6466836734693878
densenet201,2,Atelectasis,0.6729740847387906,0.6129289704708699
densenet201,2,Cardiomegaly,0.6847368421052632,0.6894446059901134
densenet201,2,Consolidation,0.8055555555555556,0.47981770833333337
densenet201,2,Edema,0.4292929292929293,0.6180904522613065
densenet201,2,Effusion,0.625,0.5368421052631579
densenet201,2,Emphysema,0.5087179487179487,0.5343589743589743
densenet201,2,Fibrosis,0.5346131471785922,0.6219336219336219
densenet201,2,Hernia,,0.3722504230118443
densenet201,2,Infiltration,0.5102777777777778,0.5554345853747051
densenet201,2,Mass,0.5040885040885041,0.39127604166666663
densenet201,2,Nodule,0.38638045891931905,0.5428903751090434
densenet201,2,Pleural_Thickening,0.462620281273131,0.5512820512820513
densenet201,2,Pneumonia,0.6414141414141414,0.443359375
densenet201,2,Pneumothorax,0.6212121212121212,0.5153061224489796
densenet201,3,Atelectasis,0.5294117647058825,0.5413673849428039
densenet201,3,Cardiomegaly,0.8873684210526316,0.7981971503343995
densenet201,3,Consolidation,0.8358585858585859,0.55078125
densenet201,3,Edema,0.4318181818181819,0.08040201005025127
densenet201,3,Effusion,0.7752659574468084,0.5631578947368421
densenet201,3,Emphysema,0.47692307692307695,0.7097435897435898
densenet201,3,Fibrosis,0.5346131471785922,0.4526214526214526
densenet201,3,Hernia,,0.5769881556683587
densenet201,3,Infiltration,0.6477777777777778,0.5343857739067319
densenet201,3,Mass,0.6166426166426167,0.5657552083333333
densenet201,3,Nodule,0.44337527757216877,0.5015993021227101
densenet201,3,Pleural_Thickening,0.4863064396743153,0.5299145299145299
densenet201,3,Pneumonia,0.29040404040404044,0.5865885416666667
densenet201,3,Pneumothorax,0.3888888888888889,0.6454081632653061
densenet201,4,Atelectasis,0.7161661867544221,0.6206437882415535
densenet201,4,Cardiomegaly,0.7489473684210526,0.671997673742367
densenet201,4,Consolidation,0.4772727272727273,0.3444010416666667
densenet201,4,Edema,0.07828282828282829,0.44221105527638194
densenet201,4,Effusion,0.6329787234042553,0.5278947368421052
densenet201,4,Emphysema,0.601025641025641,0.5723076923076923
densenet201,4,Fibrosis,0.5532286212914485,0.5161135161135161
densenet201,4,Hernia,,0.5482233502538071
densenet201,4,Infiltration,0.5772222222222222,0.5489021956087824
densenet201,4,Mass,0.35064935064935066,0.4375
densenet201,4,Nodule,0.5914137675795706,0.490549578365804
densenet201,4,Pleural_Thickening,0.538119911176906,0.612942612942613
densenet201,4,Pneumonia,0.23232323232323232,0.42578125
densenet201,4,Pneumothorax,0.5606060606060606,0.514030612244898
efficientnet_b4,1,Atelectasis,0.5886466474701768,0.5344506517690876
efficientnet_b4,1,Cardiomegaly,0.68,0.5867984879325385
efficientnet_b4,1,Consolidation,0.9242424242424243,0.56640625
efficientnet_b4,1,Edema,0.7777777777777778,0.36180904522613067
efficientnet_b4,1,Effusion,0.8093971631205674,0.5921052631578947
efficientnet_b4,1,Emphysema,0.6779487179487179,0.40512820512820513
efficientnet_b4,1,Fibrosis,0.4566608493310064,0.49783549783549785
efficientnet_b4,1,Hernia,,0.521150592216582
efficientnet_b4,1,Infiltration,0.5097222222222222,0.5674106332788968
efficientnet_b4,1,Mass,0.6195286195286196,0.365234375
efficientnet_b4,1,Nodule,0.5499629903774982,0.35678976446641464
efficientnet_b4,1,Pleural_Thickening,0.4863064396743153,0.4636752136752137
efficientnet_b4,1,Pneumonia,0.9267676767676767,0.603515625
efficientnet_b4,1,Pneumothorax,0.5631313131313131,0.5522959183673469
densenet201,5,Atelectasis,0.5898807075277663,0.5855280659749934
densenet201,5,Cardiomegaly,0.6952631578947368,0.7327711544053503
densenet201,5,Consolidation,0.5277777777777778,0.5358072916666666
densenet201,5,Edema,0.648989898989899,0.8743718592964824
densenet201,5,Effusion,0.7238475177304964,0.5710526315789474
densenet201,5,Emphysema,0.517948717948718,0.4153846153846154
densenet201,5,Fibrosis,0.4520069808027923,0.4684944684944685
densenet201,5,Hernia,,0.8172588832487311
densenet201,5,Infiltration,0.6116666666666667,0.6381781890763927
densenet201,5,Mass,0.4651274651274651,0.423828125
densenet201,5,Nodule,0.4996299037749815,0.5251526606571678
densenet201,5,Pleural_Thickening,0.4492968171724648,0.5024420024420024
densenet201,5,Pneumonia,0.5934343434343434,0.48763020833333337
densenet201,5,Pneumothorax,0.4671717171717172,0.6403061224489796
efficientnet_b4,2,Atelectasis,0.6297819827231592,0.5387071029529129
efficientnet_b4,2,Cardiomegaly,0.7231578947368421,0.6935155568479209
efficientnet_b4,2,Consolidation,0.7676767676767677,0.5338541666666667
efficientnet_b4,2,Edema,0.5328282828282829,0.5628140703517588
efficientnet_b4,2,Effusion,0.6427304964539007,0.658421052631579
efficientnet_b4,2,Emphysema,0.601025641025641,0.3394871794871795
efficientnet_b4,2,Fibrosis,0.34205933682373474,0.5733525733525734
efficientnet_b4,2,Hernia,,0.583756345177665
efficientnet_b4,2,Infiltration,0.47277777777777774,0.49755035383777896
efficientnet_b4,2,Mass,0.5560365560365561,0.33854166666666663
efficientnet_b4,2,Nodule,0.4093264248704663,0.4885141029369002
efficientnet_b4,2,Pleural_Thickening,0.47668393782383417,0.420940170940171
efficientnet_b4,2,Pneumonia,0.5025252525252525,0.59765625
efficientnet_b4,2,Pneumothorax,0.8484848484848484,0.6301020408163265
efficientnet_b4,3,Atelectasis,0.6482928835870012,0.5544027666932695
efficientnet_b4,3,Cardiomegaly,0.7478947368421052,0.6996219831346321
efficientnet_b4,3,Consolidation,0.7272727272727273,0.45963541666666663
efficientnet_b4,3,Edema,0.6565656565656566,0.1507537688442211
efficientnet_b4,3,Effusion,0.6303191489361702,0.653157894736842
efficientnet_b4,3,Emphysema,0.718974358974359,0.518974358974359
efficientnet_b4,3,Fibrosis,0.4368819080860966,0.5796055796055797
efficientnet_b4,3,Hernia,,0.6700507614213198
efficientnet_b4,3,Infiltration,0.46166666666666667,0.5441843585556161
efficientnet_b4,3,Mass,0.47811447811447805,0.3671875
efficientnet_b4,3,Nodule,0.4404145077720207,0.4739749927304449
efficientnet_b4,3,Pleural_Thickening,0.4996299037749815,0.39590964590964595
efficientnet_b4,3,Pneumonia,0.6666666666666667,0.6673177083333334
efficientnet_b4,3,Pneumothorax,0.5984848484848485,0.3826530612244898
efficientnet_b4,4,Atelectasis,0.6700946112710819,0.5198191008246874
efficientnet_b4,4,Cardiomegaly,0.6357894736842106,0.6539691770863623
efficientnet_b4,4,Consolidation,0.8131313131313131,0.66015625
efficientnet_b4,4,Edema,0.8106060606060606,0.5276381909547738
efficientnet_b4,4,Effusion,0.7340425531914894,0.5668421052631578
efficientnet_b4,4,Emphysema,0.52,0.5692307692307692
efficientnet_b4,4,Fibrosis,0.38917975567190227,0.45646945646945647
efficientnet_b4,4,Hernia,,0.6446700507614213
efficientnet_b4,4,Infiltration,0.5216666666666666,0.5060787515877336
efficientnet_b4,4,Mass,0.6137566137566137,0.39518229166666663
efficientnet_b4,4,Nodule,0.46854182087342705,0.40476882814771736
efficientnet_b4,4,Pleural_Thickening,0.42709104367135453,0.41880341880341876
efficientnet_b4,4,Pneumonia,0.8813131313131313,0.7239583333333333
efficientnet_b4,4,Pneumothorax,0.6414141414141414,0.451530612244898
efficientnet_b4,5,Atelectasis,0.5800082270670506,0.6044160681032189
efficientnet_b4,5,Cardiomegaly,0.6647368421052632,0.6214015702239023
efficientnet_b4,5,Consolidation,0.8409090909090909,0.5651041666666666
efficientnet_b4,5,Edema,0.5909090909090909,0.3869346733668342
efficientnet_b4,5,Effusion,0.6959219858156028,0.661578947368421
efficientnet_b4,5,Emphysema,0.7066666666666667,0.4205128205128206
efficientnet_b4,5,Fibrosis,0.3880162885398487,0.4555074555074555
efficientnet_b4,5,Hernia,,0.6852791878172588
efficientnet_b4,5,Infiltration,0.5277777777777778,0.4389403012157504
efficientnet_b4,5,Mass,0.6301106301106301,0.3619791666666667
efficientnet_b4,5,Nodule,0.5470022205773502,0.409130561209654
efficientnet_b4,5,Pleural_Thickening,0.42487046632124353,0.4410866910866911
efficientnet_b4,5,Pneumonia,0.6111111111111112,0.615234375
efficientnet_b4,5,Pneumothorax,0.5681818181818181,0.6045918367346939
efficientnet_b5,1,Atelectasis,0.597696421225833,0.5591912742750732
efficientnet_b5,1,Cardiomegaly,0.7036842105263158,0.5045071241640011
efficientnet_b5,1,Consolidation,0.962121212121212,0.5286458333333334
efficientnet_b5,1,Edema,0.6237373737373737,0.24120603015075381
efficientnet_b5,1,Effusion,0.8240248226950355,0.658421052631579
efficientnet_b5,1,Emphysema,0.4687179487179487,0.39179487179487177
efficientnet_b5,1,Fibrosis,0.522978475858057,0.5868205868205868
efficientnet_b5,1,Hernia,,0.8375634517766497
efficientnet_b5,1,Infiltration,0.5775,0.5606967882416984
efficientnet_b5,1,Mass,0.6661856661856661,0.6145833333333334
efficientnet_b5,1,Nodule,0.607698001480385,0.4699040418726374
efficientnet_b5,1,Pleural_Thickening,0.5677276091783864,0.4636752136752137
efficientnet_b5,1,Pneumonia,0.33333333333333337,0.49283854166666663
efficientnet_b5,1,Pneumothorax,0.5025252525252525,0.715561224489796
efficientnet_b5,2,Atelectasis,0.6067461949814892,0.6956637403564777
efficientnet_b5,2,Cardiomegaly,0.6594736842105263,0.58301831927886
efficientnet_b5,2,Consolidation,0.8080808080808081,0.5514322916666666
efficientnet_b5,2,Edema,0.7348484848484848,0.728643216080402
efficientnet_b5,2,Effusion,0.688386524822695,0.47789473684210526
efficientnet_b5,2,Emphysema,0.7076923076923077,0.5015384615384615
efficientnet_b5,2,Fibrosis,0.3903432228039558,0.342953342953343
efficientnet_b5,2,Hernia,,0.5194585448392555
efficientnet_b5,2,Infiltration,0.5422222222222222,0.5454545454545455
efficientnet_b5,2,Mass,0.7267917267917268,0.6686197916666666
efficientnet_b5,2,Nodule,0.42783123612139157,0.40505961035184646
efficientnet_b5,2,Pleural_Thickening,0.48482605477424134,0.44719169719169716
efficientnet_b5,2,Pneumonia,0.3888888888888889,0.5338541666666667
efficientnet_b5,2,Pneumothorax,0.7878787878787878,0.7959183673469388
efficientnet_b5,3,Atelectasis,0.6071575483340188,0.5472200053205639
efficientnet_b5,3,Cardiomegaly,0.6089473684210527,0.6118057574876418
efficientnet_b5,3,Consolidation,0.7727272727272727,0.462890625
efficientnet_b5,3,Edema,0.12373737373737376,0.4371859296482412
efficientnet_b5,3,Effusion,0.6848404255319149,0.6742105263157895
efficientnet_b5,3,Emphysema,0.5651282051282052,0.4143589743589744
efficientnet_b5,3,Fibrosis,0.5584642233856894,0.7200577200577201
efficientnet_b5,3,Hernia,,0.9052453468697124
efficientnet_b5,3,Infiltration,0.6219444444444444,0.4797677372527672
efficientnet_b5,3,Mass,0.6676286676286677,0.4361979166666667
efficientnet_b5,3,Nodule,0.5247964470762398,0.4728118639139285
efficientnet_b5,3,Pleural_Thickening,0.47520355292376015,0.5332722832722833
efficientnet_b5,3,Pneumonia,0.5909090909090908,0.578125
efficientnet_b5,3,Pneumothorax,0.8964646464646464,0.6479591836734694
efficientnet_b5,4,Atelectasis,0.639654463183875,0.6578877361000266
